Encode,mono,di,tri,quad,pent,hex
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,17,1,1,1
1,2,12,17,0,0,0
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,16,0,0,0
1,2,12,16,0,0,0
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,2,12,16,0,0,0
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,2,12,16,0,0,0
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,18,1,1,1
1,2,12,16,0,0,0
1,2,12,16,0,0,0
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,18,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,15,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,0,0,0
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,16,1,1,1
1,3,13,15,1,1,1
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,14,1,1,1
1,3,13,15,1,1,1
1,2,12,16,0,0,0
1,2,12,16,0,0,0
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,3,13,18,2,2,2
1,2,12,16,0,0,0
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,3,13,18,2,2,2
1,3,13,18,1,1,1
1,3,13,16,0,0,0
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,17,2,2,2
1,3,13,16,1,1,1
1,2,12,16,0,0,0
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,2,12,17,1,1,1
1,2,12,16,0,0,0
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,17,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,18,2,2,2
1,2,12,16,0,0,0
1,2,12,16,0,0,0
1,3,13,17,1,1,1
1,3,13,15,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,18,2,2,2
1,2,12,16,0,0,0
1,3,13,16,1,1,1
1,3,13,18,1,1,1
1,3,13,18,1,1,1
1,3,13,16,1,1,1
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,16,1,1,1
1,3,13,18,1,1,1
1,3,13,17,1,1,1
1,3,13,16,0,0,0
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,16,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,3,13,17,1,1,1
1,2,12,16,0,0,0
1,3,13,16,1,1,1
1,3,13,16,1,1,1
2,2,12,16,0,0,0
2,2,12,16,0,0,0
2,3,13,17,1,0,0
2,3,13,15,1,1,1
2,2,12,16,0,0,0
2,2,12,16,0,0,0
2,2,12,16,0,0,0
2,3,12,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,2,12,17,0,0,0
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,16,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,0,0,0
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,14,1,1,1
3,3,13,16,1,1,1
3,3,13,15,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,3,13,15,1,1,1
3,3,13,17,0,0,0
3,2,12,15,0,0,0
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,3,13,15,1,1,1
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,2,12,15,0,0,0
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,2,12,16,0,0,0
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,0,0,0
3,2,12,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,15,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,2,12,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,18,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,16,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,0,0,0
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,18,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,2,12,16,0,0,0
3,3,13,17,1,1,1
3,3,13,16,0,0,0
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,15,1,1,1
3,3,13,17,1,1,1
3,3,13,15,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,15,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,16,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
3,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,13,1,1,1
4,3,13,17,1,1,1
4,3,13,18,1,1,1
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,17,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,16,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,16,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,18,0,0,0
4,3,13,17,1,1,1
4,3,13,15,1,1,1
4,3,13,16,1,1,1
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,16,1,1,1
4,3,13,18,1,1,1
4,3,13,18,1,1,1
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,16,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,16,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,16,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,17,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,16,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,16,1,1,1
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,2,12,16,0,0,0
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,16,1,1,1
4,3,13,15,1,1,1
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,17,1,1,1
4,3,13,17,1,1,1
